District Code,District,Building Code,School,AYP Phase,Grade,Title 1,Subgroup,"Participation ELA","Achievement ELA","Participation Math","Achievement Math","Attendance/Graduation"
82010,Detroit City School District,08526,Crosman Alternative High School,Identified for Restructuring - Implementation,No Grade,No,All Students,-,Yes,-,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,"Asian, Native Hawaiian, or Pacific Islander",Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,Limited English Proficient,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00880,Davison Elementary School,Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,00902,Denby High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,Yes
82010,Detroit City School District,00902,Denby High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,Yes
82010,Detroit City School District,00902,Denby High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
82010,Detroit City School District,00902,Denby High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,Yes
82010,Detroit City School District,07529,Detroit City High School,Identified for Improvement - Year Two,Unaccredited,No,All Students,-,No,-,No,-
82010,Detroit City School District,00038,Detroit City High School,,No Grade,Yes,All Students,No,-,No,-,-
82010,Detroit City School District,00038,Detroit City High School,,No Grade,Yes,Black or African American,No,-,No,-,-
82010,Detroit City School District,00908,Detroit Day School For The Deaf,Identified for Improvement - Year Two,C,Yes,All Students,No,Yes,No,No,Yes
82010,Detroit City School District,00908,Detroit Day School For The Deaf,Identified for Improvement - Year Two,C,Yes,Black or African American,No,-,No,-,-
82010,Detroit City School District,00908,Detroit Day School For The Deaf,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,No,-,No,-,Yes
82010,Detroit City School District,08925,Detroit Lions Alternative Education,Corrective Action,C,Yes,All Students,Yes,Yes,No,Yes,No
82010,Detroit City School District,08925,Detroit Lions Alternative Education,Corrective Action,C,Yes,Black or African American,Yes,Yes,No,Yes,No
82010,Detroit City School District,08925,Detroit Lions Alternative Education,Corrective Action,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05773,Drew Middle School,Identified for Restructuring - Implementation,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05773,Drew Middle School,Identified for Restructuring - Implementation,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05773,Drew Middle School,Identified for Restructuring - Implementation,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05773,Drew Middle School,Identified for Restructuring - Implementation,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00966,Duffield Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00966,Duffield Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,Hispanic or Latino,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,Limited English Proficient,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00082,Earhart Middle School,Identified for Restructuring - Implementation,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01087,Edmonson Elementary School,Identified for Improvement - Year One,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01087,Edmonson Elementary School,Identified for Improvement - Year One,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01087,Edmonson Elementary School,Identified for Improvement - Year One,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01211,Farwell Middle School,Identified for Improvement - Year Two,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01211,Farwell Middle School,Identified for Improvement - Year Two,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01211,Farwell Middle School,Identified for Improvement - Year Two,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01211,Farwell Middle School,Identified for Improvement - Year Two,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07097,Ferguson Academy for Young Women,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,07097,Ferguson Academy for Young Women,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,-,No,-,No
82010,Detroit City School District,07097,Ferguson Academy for Young Women,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,-,No,-,No
82010,Detroit City School District,08951,"Field, Moses",,No Grade,Yes,All Students,Yes,Yes,Yes,No,-
82010,Detroit City School District,08951,"Field, Moses",,No Grade,Yes,Black or African American,Yes,Yes,Yes,No,-
82010,Detroit City School District,08951,"Field, Moses",,No Grade,Yes,Economically Disadvantaged,Yes,No,Yes,No,-
82010,Detroit City School District,08951,"Field, Moses",,No Grade,Yes,Students with Disabilities,Yes,Yes,Yes,No,-
82010,Detroit City School District,01236,Finney High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,Yes,No,Yes,Yes,Yes
82010,Detroit City School District,01236,Finney High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,Yes,No,Yes,Yes,Yes
82010,Detroit City School District,01236,Finney High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,Yes,No,Yes,Yes,Yes
82010,Detroit City School District,03676,Fisher Magnet ,Identified for Improvement - Year Two,D-Alert,No,Students with Disabilities,-,Yes,-,No,-
82010,Detroit City School District,09121,Fisher Magnet Lower Academy,Identified for Improvement - Year Two,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09121,Fisher Magnet Lower Academy,Identified for Improvement - Year Two,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09121,Fisher Magnet Lower Academy,Identified for Improvement - Year Two,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09121,Fisher Magnet Lower Academy,Identified for Improvement - Year Two,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,09345,Fisher Magnet Upper Academy,Identified for Restructuring - Planning,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09345,Fisher Magnet Upper Academy,Identified for Restructuring - Planning,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09345,Fisher Magnet Upper Academy,Identified for Restructuring - Planning,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09345,Fisher Magnet Upper Academy,Identified for Restructuring - Planning,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
82010,Detroit City School District,01244,Fitzgerald Elementary School,Identified for Improvement - Year Two,D-Alert,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01244,Fitzgerald Elementary School,Identified for Improvement - Year Two,D-Alert,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01244,Fitzgerald Elementary School,Identified for Improvement - Year Two,D-Alert,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01244,Fitzgerald Elementary School,Identified for Improvement - Year Two,D-Alert,Yes,Students with Disabilities,Yes,Yes,Yes,No,No
82010,Detroit City School District,01248,Fleming Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01248,Fleming Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01248,Fleming Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01248,Fleming Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,01634,Ford High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,No,No,Yes,No
82010,Detroit City School District,01634,Ford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,No,No,Yes,No
82010,Detroit City School District,01634,Ford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,01634,Ford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,07326,Foreign Language Immersion,,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07326,Foreign Language Immersion,,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07326,Foreign Language Immersion,,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01362,Gardner Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01362,Gardner Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01362,Gardner Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01362,Gardner Elementary School,Identified for Improvement - Year One,B,Yes,Limited English Proficient,-,Yes,-,Yes,No
82010,Detroit City School District,01362,Gardner Elementary School,Identified for Improvement - Year One,B,Yes,White,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07581,Garvey Academy,,C,Yes,Students with Disabilities,No,-,No,-,Yes
82010,Detroit City School District,05675,Glazer Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05675,Glazer Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05675,Glazer Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01546,Hamilton Elementary School,Corrective Action,Unaccredited,No,Students with Disabilities,-,No,-,Yes,-
82010,Detroit City School District,09342,Hancock,Identified for Improvement - Year One,No Grade,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01569,Harding Elementary School,Identified for Restructuring - Implementation,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01569,Harding Elementary School,Identified for Restructuring - Implementation,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01569,Harding Elementary School,Identified for Restructuring - Implementation,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01569,Harding Elementary School,Identified for Restructuring - Implementation,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00005,"Holmes, A.L.  Elementary School",Identified for Improvement - Year Two,D-Alert,Yes,Students with Disabilities,Yes,Yes,No,Yes,Yes
82010,Detroit City School District,01764,Houghten Elementary School,Identified for Improvement - Year One,C,No,Students with Disabilities,-,No,-,Yes,-
82010,Detroit City School District,01802,Hutchins Elementary School,,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01802,Hutchins Elementary School,,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01802,Hutchins Elementary School,,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01802,Hutchins Elementary School,,B,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,01887,Jamieson Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01887,Jamieson Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01887,Jamieson Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01887,Jamieson Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,07795,Jemison School of Choice,Identified for Improvement - Year Two,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07795,Jemison School of Choice,Identified for Improvement - Year Two,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07795,Jemison School of Choice,Identified for Improvement - Year Two,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,07795,Jemison School of Choice,Identified for Improvement - Year Two,B,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,09592,Jerry L White Center High School,,No Grade,Yes,All Students,No,No,No,No,-
82010,Detroit City School District,09592,Jerry L White Center High School,,No Grade,Yes,Black or African American,No,-,No,-,-
82010,Detroit City School District,09592,Jerry L White Center High School,,No Grade,Yes,Economically Disadvantaged,No,-,No,-,-
82010,Detroit City School District,09592,Jerry L White Center High School,,No Grade,Yes,Students with Disabilities,No,No,No,No,-
82010,Detroit City School District,01976,Joyce Elementary School,Identified for Improvement - Year One,C,No,Students with Disabilities,-,No,-,No,-
82010,Detroit City School District,09594,Keidan Special Education School,Identified for Improvement - Year Two,No Grade,Yes,All Students,Yes,No,Yes,No,Yes
82010,Detroit City School District,09594,Keidan Special Education School,Identified for Improvement - Year Two,No Grade,Yes,Black or African American,Yes,No,Yes,No,Yes
82010,Detroit City School District,09594,Keidan Special Education School,Identified for Improvement - Year Two,No Grade,Yes,Economically Disadvantaged,Yes,No,Yes,No,-
82010,Detroit City School District,09594,Keidan Special Education School,Identified for Improvement - Year Two,No Grade,Yes,Students with Disabilities,Yes,No,Yes,No,Yes
82010,Detroit City School District,02030,Kettering High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,02030,Kettering High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,02030,Kettering High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,02030,Kettering High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,Yes,No,Yes,No
82010,Detroit City School District,09475,Kettering West Wing,Identified for Restructuring - Planning,No Grade,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09475,Kettering West Wing,Identified for Restructuring - Planning,No Grade,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09475,Kettering West Wing,Identified for Restructuring - Planning,No Grade,Yes,Economically Disadvantaged,-,Yes,-,Yes,No
82010,Detroit City School District,09475,Kettering West Wing,Identified for Restructuring - Planning,No Grade,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01043,King High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,Yes
82010,Detroit City School District,01043,King High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,Yes
82010,Detroit City School District,01043,King High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
82010,Detroit City School District,02377,Law Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02377,Law Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02377,Law Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02377,Law Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,02167,Lessenger Elementary-Middle School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03725,Loving Elementary School,Identified for Improvement - Year One,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03725,Loving Elementary School,Identified for Improvement - Year One,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03725,Loving Elementary School,Identified for Improvement - Year One,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02301,MacDowell Elementary School,,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02301,MacDowell Elementary School,,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02301,MacDowell Elementary School,,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02301,MacDowell Elementary School,,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02398,"Marshall, John Elementary School",Identified for Improvement - Year Two,D-Alert,No,Students with Disabilities,-,No,-,No,-
82010,Detroit City School District,02431,Mason Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02431,Mason Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02431,Mason Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02458,McColl Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02458,McColl Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02458,McColl Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04812,McFarlane Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04812,McFarlane Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04812,McFarlane Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02475,McKenny Elementary School,Identified for Improvement - Year Two,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02475,McKenny Elementary School,Identified for Improvement - Year Two,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02475,McKenny Elementary School,Identified for Improvement - Year Two,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02475,McKenny Elementary School,Identified for Improvement - Year Two,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,01871,McNair Middle School,Identified for Improvement - Year Two,D-Alert,No,Students with Disabilities,-,Yes,-,No,-
82010,Detroit City School District,02644,Mumford High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,Yes
82010,Detroit City School District,02644,Mumford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,Yes
82010,Detroit City School District,02644,Mumford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
82010,Detroit City School District,02644,Mumford High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,Yes,No,Yes,Yes
82010,Detroit City School District,02646,Munger Elementary School,Identified for Improvement - Year Two,D-Alert,No,Students with Disabilities,-,No,-,Yes,-
82010,Detroit City School District,02648,Murphy Elementary-Middle School,Corrective Action,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02648,Murphy Elementary-Middle School,Corrective Action,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02648,Murphy Elementary-Middle School,Corrective Action,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02648,Murphy Elementary-Middle School,Corrective Action,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02669,Neinas Elementary School,Identified for Improvement - Year One,C,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,02778,Northwestern High School,Identified for Improvement - Year Two,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,02778,Northwestern High School,Identified for Improvement - Year Two,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,02778,Northwestern High School,Identified for Improvement - Year Two,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,02855,Osborn Upper School of Global Communications and C,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,Yes,Yes,No,Yes,No
82010,Detroit City School District,02855,Osborn Upper School of Global Communications and C,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,Yes,No,No,Yes,No
82010,Detroit City School District,02855,Osborn Upper School of Global Communications and C,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02855,Osborn Upper School of Global Communications and C,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,02951,Parker Elementary School,Corrective Action,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02951,Parker Elementary School,Corrective Action,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02951,Parker Elementary School,Corrective Action,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,02951,Parker Elementary School,Corrective Action,C,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,03015,Pershing High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,03015,Pershing High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,03015,Pershing High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,03015,Pershing High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,Hispanic or Latino,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,Limited English Proficient,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,No,Yes,No,No
82010,Detroit City School District,04554,Phoenix Elementary,Identified for Improvement - Year Two,C,Yes,White,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03123,Priest Elementary School,Identified for Restructuring - Implementation,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03123,Priest Elementary School,Identified for Restructuring - Implementation,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03123,Priest Elementary School,Identified for Restructuring - Implementation,B,Yes,White,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03130,Pulaski Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03130,Pulaski Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03130,Pulaski Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03130,Pulaski Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09661,Riverside Preparatory Middle College Academy,,No Grade,Yes,All Students,-,Yes,-,Yes,No
82010,Detroit City School District,03857,Robinson Middle School,Identified for Improvement - Year Two,D-Alert,No,Students with Disabilities,-,Yes,-,No,-
82010,Detroit City School District,09341,"Scott, Brenda Middle School",Identified for Restructuring - Implementation,D-Alert,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09341,"Scott, Brenda Middle School",Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09341,"Scott, Brenda Middle School",Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,09341,"Scott, Brenda Middle School",Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,03540,Southeastern High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,Yes
82010,Detroit City School District,03540,Southeastern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,Yes
82010,Detroit City School District,03540,Southeastern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
82010,Detroit City School District,03540,Southeastern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,Yes
82010,Detroit City School District,03555,Southwestern High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,03555,Southwestern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,03555,Southwestern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,03555,Southwestern High School,Identified for Restructuring - Implementation,D-Alert,Yes,Limited English Proficient,Yes,-,No,-,No
82010,Detroit City School District,06074,Stewart Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,06074,Stewart Elementary School,Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04129,Taft Middle School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04129,Taft Middle School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04129,Taft Middle School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
