DistCode,BldgCode,SchName,Address,City,Zip5,Zip4,AreaCode,Phone3,Phone4,BldgType,Denom,ISDCode,CountyCode,Admin,CntEmail,SchUpdated,MeetReq,SpEdCount,PrtTimeCnt,NeedyCount,InstrHours,InstrDays,ReligYes,ReligNo,CrtPrmYES,CrtPrmNO,CrimCkYES,CrimCkNO,MICert,MIPermits,NoHSDipl,HSDiploma,Bachelors,OtherCert,TotalTeach,Pre_K,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,tot_all,EngRead,Math,SocStudies,Science,USConst,MIConst,History,TCountPrK,TCountK8,TCount9_12,TotTCount,PCountPrK,PCountK8,PCount9_12,TotPCount,OCountPrK,OCountK8,OCount9_12,TotOCounts
59090,03232,COWDEN LAKE BIBLE ACADEMY,4931 NORTH BAILEY ROAD,CORAL,49322,,231,354,0024,Elementary through High School (K-12),Unaffiliated - Religious,59,59,LARRY ROLSTON,CLBA81@PATHWAYNET.COM,40096.7511805556,Yes,0,0,,,,Yes,No,No,No,Yes,No,,,,,,,,3,3,3,3,6,3,3,5,4,1,3,2,1,1,41,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
61010,00558,MUSKEGON CATH CEN HIGH SCH,1145 WEST LAKETON AVENUE,MUSKEGON,49441,,231,755,2201,Senior High School (9-12 or 10-12),Roman Catholic,61,61,ROBERT BRIDGES,RBRIDGES@MUSKEGONCATHOLIC.ORG,40089.8652083333,Yes,0,0,,34,182,No,Yes,Yes,No,Yes,No,14,,,,,,14,,,,,,,,,,,48,45,43,66,202,1,1,1,1,1,1,1,,,13,13,,,1,1,,,1,1
61080,02571,CALVARY CHRISTIAN SCHOOLS,5873 KENDRA ROAD,FRUITPORT,49415,,231,865,2141,Elementary through High School (K-12),Baptist,61,61,THOMAS R KAPANKA,TOM.KAPANKA@CALVARYMUSKEGON.COM,40147.7723263889,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,12,1,0,0,0,1,14,,19,9,12,22,12,16,13,21,12,13,10,10,18,187,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
61060,04479,WESTERN MICH CHRISTIAN HIGH,455 EAST ELLIS ROAD,MUSKEGON,49441,,231,799,9644,Senior High School (9-12 or 10-12),Christian (CSI),61,61,DOUG DOTY,WMC@WMCHS.NET,40090.9019328704,Yes,0,0,,30,178,No,Yes,No,Yes,Yes,No,10,,,,1,,11,,,,,,,,,,,55,59,49,62,225,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
61010,03698,MUSKEGON CATH CEN ELEM SCH,1145 WEST LAKETON AVENUE,MUSKEGON,49441,,231,755,1045,Elementary School (Pre-K or K through 6-8),Roman Catholic,61,61,PENNY JOHNSON,PJOHNSON@GMCS.ORG,40096.7668287037,Yes,8,,,,,No,Yes,Yes,No,Yes,No,17,,,,,,17,49,23,29,23,28,32,39,32,40,40,,,,,335,1,1,1,1,1,0,0,,,,0,,,,0,,,,0
61190,05291,MUSKEGON SDA SCHOOL,3050 EVANSTON AVENUE,MUSKEGON,49442,,231,773,8866,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),61,61,JACQUELINE REAGAN,BDAVIS@MISDA.ORG,40089.8664930556,Yes,0,0,3,31,176,No,Yes,Yes,No,Yes,No,1,,,,,,1,,,1,1,1,,4,1,1,1,,,,,10,1,1,1,1,0,0,0,,1,,1,,,,0,,,,0
61210,03651,ST CATHERINE SCHOOL,3376 THOMAS ST  PO BOX 216,RAVENNA,49451,,231,853,6743,Elementary School (Pre-K or K through 6-8),Roman Catholic,61,61,SR PETER MARY KORSON,SRPMKORS@CATHOLICWEB.COM,40096.8118055556,Yes,0,0,2,32,178,No,Yes,Yes,No,Yes,No,5,0,0,0,0,0,5,0,4,6,6,10,4,7,3,0,0,0,0,0,0,40,1,1,1,1,0,0,0,,4,,4,,1,,1,,0,,0
62040,04761,CORNERSTONE CHRISTIAN ACAD,405 WEST 44TH STREET,FREMONT,49412,,231,924,4705,Elementary School (Pre-K or K through 6-8),Baptist,62,62,SANDRA K ANDERSON,CCACADEMY@NCATS.NET,40161.611099537,Yes,,,,30,180,Yes,No,No,No,Yes,No,,,,,,,,,3,6,3,2,3,3,2,,4,,,,,26,1,1,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,0
62040,05106,FREMONT CHRISTIAN SCHOOL P-8,208 HILLCREST DRIVE,FREMONT,49412,,231,924,2740,Elementary School (Pre-K or K through 6-8),Christian (CSI),62,62,JOSEPH FOX,FCS@NCATS.NET,40086.5492361111,Yes,0,0,0,33,180,No,Yes,Yes,No,Yes,No,13,0,0,0,0,0,13,23,10,14,6,11,18,11,10,21,14,,,,,138,1,1,1,1,0,0,0,1,10,,11,1,,,1,,,,0
62040,07216,FAITH BAPTIST CHURCH SCHOOL,7729 WEST 48TH STREET,FREMONT,49412,,616,924,2327,Elementary School (Pre-K or K through 6-8),Baptist,62,62,C MARK RULEY,FAITH7729@COMCAST.NET,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
62050,01467,GRANT CHRISTIAN SCHOOL,12931 POPLAR AVE G,GRANT,49327,,231,834,8445,Elementary School (Pre-K or K through 6-8),Christian (CSI),62,62,MELISSA S BROWER,GCS@NCAPS.NET,40126.6457638889,Yes,,,15,,,No,Yes,Yes,No,Yes,No,5,,,,,,5,22,15,9,12,3,6,7,7,3,7,,,,,91,1,1,1,1,1,1,1,,5,,5,,,,0,,,,0
63010,00420,BROTHER RICE HIGH SCHOOL,7101 LAHSER ROAD,BLOOMFIELD HILLS,48301,,248,647,2526,Senior High School (9-12 or 10-12),Roman Catholic,63,63,LORRAINE MEIER,meier@brrice.edu,40084.4251273148,Yes,0,0,0,33,174,No,Yes,No,Yes,Yes,No,46,0,,1,,,47,,,,,,,,,,,189,159,177,171,696,1,1,1,1,1,1,1,,,47,47,,,1,1,,,,0
63010,00907,DETROIT COUNTRY DAY UPPER,22305 WEST 13 MILE ROAD,BEVERLY HILLS,48025,,248,646,7717,Senior High School (9-12 or 10-12),Unaffiliated - Secular,63,63,GLEN SHILLING,MWELSH@DCDS.EDU,40107.5262847222,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,45,0,0,0,4,30,79,,,,,,,,,,,170,162,192,162,686,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63010,01731,HOLY NAME SCHOOL,680 HARMON AVENUE,BIRMINGHAM,48009,,248,644,2722,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,MARY ANN GRADY,ANNICE@HNCHURCH.ORG,40086.6725347222,Yes,0,0,0,,,No,Yes,Yes,No,Yes,No,24,0,,,,,24,31,38,38,40,29,39,47,40,30,42,0,0,0,0,374,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63010,01998,ETON ACADEMY,1755 MELTON,BIRMINGHAM,48009,,248,642,1150,Elementary through High School (K-12),Unaffiliated - Secular,63,63,PETE PULLEN,DSACCARO@ETONACADEMY.ORG,40161.6121990741,Yes,,,,35,172,No,Yes,Yes,No,Yes,No,23,0,0,0,0,0,23,,,1,6,4,8,11,19,11,21,19,22,14,17,153,1,1,1,1,1,1,1,0,10,9,19,0,2,1,3,0,6,1,7
63010,02203,DETROIT COUNTRY DAY JUNIOR,3600 SOUTH BRADWAY BOULEVARD,BLOOMFIELD HILLS,48301,,248,646,7717,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,GLEN SHILLING,MWELSH@DCDS.EDU,40107.5218865741,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,18,0,0,0,2,3,23,,,,,75,86,85,,,,,,,,246,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63010,02373,MARIAN HIGH SCHOOL,7225 LAHSER ROAD,BLOOMFIELD HILLS,48301,,248,644,1750,Senior High School (9-12 or 10-12),Roman Catholic,63,63,"SR LENORE POCHELSKI, IHM",LENOREIHM@MARIAN-HS.ORG,40089.7500115741,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,37,,,,2,,39,,,,,,,,,,,148,147,151,140,586,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63010,02910,OUR LADY QUEEN OF MARTYRS,32460 PIERCE,BEVERLY HILLS,48025,,248,642,2616,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,PETER J FERGUSON,PJFERGUSON@OLQM-PARISH.ORG,40096.768587963,Yes,0,0,0,35,175,No,Yes,No,Yes,Yes,No,22,0,0,0,1,0,23,48,14,21,15,19,30,35,33,37,29,,,,,281,1,1,1,1,0,0,0,1,17,,18,0,1,,1,0,0,,0
63010,03261,ROEPER CITY & COUNTRY UPPER,1051 OAKLAND AVENUE,BIRMINGHAM,48009,,248,203,7327,Elementary through High School (K-12),Unaffiliated - Secular,63,63,CAROLYN LETT,CAROLYN.LETT@ROEPER.ORG,40096.7725925926,Yes,9,0,,,,No,Yes,No,Yes,Yes,No,18,0,0,0,23,3,44,,,,,,,,48,47,46,45,46,43,51,326,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63010,03994,ST REGIS SCHOOL,3691 LINCOLN ROAD,BLOOMFIELD,48301,,248,646,2686,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,CHRIS CIAGNE,SUE.TESCH@STREGIS.ORG,40096.9131018519,Yes,0,0,,35,175,No,Yes,No,Yes,Yes,No,27,0,0,0,3,0,30,17,47,46,55,43,52,56,58,63,63,0,0,0,0,500,1,1,1,1,0,0,0,1,24,0,25,,1,0,1,1,2,,3
63010,06474,BROOKFIELD ACADEMY,2965 WALNUT LAKE ROAD,WEST BLOOMFIELD,48323,,248,626,6665,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,KELLY RANDAZZO,BROOKFIELD.WB@BRIGHTHORIZONS.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63030,05317,OAKLAND CHRISTIAN SCHOOL,3075 SHIMMONS ROAD,AUBURN HILLS,48326,,248,373,2700,Elementary through High School (K-12),Unaffiliated - Religious,63,63,S. RANDALL SPECK,gmay@oaklandchristian.com,40089.9503935185,Yes,0,0,4,35,172,No,Yes,No,Yes,Yes,No,40,0,0,0,5,1,46,43,34,34,32,30,48,49,44,51,63,49,65,51,42,635,1,1,1,1,1,1,1,3,23,20,46,1,1,1,3,,3,,3
63030,06963,HERITAGE CHRISTIAN SCHOOL,2024 PONTIAC ROAD,AUBURN HILLS,48326,,248,373,1450,Elementary through High School (K-12),Unaffiliated - Religious,63,63,PASTOR JOHN FIELDS,OFFICE@THEHERITAGEBAPTISTCHURCH.COM,40089.6413657407,Yes,0,0,,,,Yes,No,No,No,Yes,No,,,,,,,,0,0,0,1,4,0,1,3,2,3,2,0,0,1,17,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63030,07006,AUBURN HILLS CHRISTIAN SCHOOL,"3655 N SQUIRREL RD, PO BOX 4386",AUBURN HILLS,48321,,248,373,3399,Elementary through High School (K-12),Unaffiliated - Religious,63,63,ROBIN L EMERY,AHCSREMERY@HOTMAIL.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63040,03473,SHRINE CATHOLIC GRADE SCHOOL,1621 LINWOOD AVENUE,ROYAL OAK,48067,,248,541,4622,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,SHARON DIXON,gsadmin@shrineschools.com,40096.7783217593,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,28,2,,1,,,31,55,82,77,69,73,63,72,64,,,,,,,555,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63040,03678,ST DENNIS SCHOOL,1415 NORTH STEPHENSON HWY,ROYAL OAK,48067,,248,398,6555,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,GREG PILARSKI,GPILARSKI@STDENNIS.ORG,40161.6137037037,Yes,,,,,,No,Yes,Yes,No,Yes,No,9,0,0,0,0,0,9,,12,13,6,15,17,5,19,11,14,,,,,112,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63040,03870,ST MARY SCHOOL,628 SOUTH LAFAYETTE,ROYAL OAK,48067,,248,545,2140,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,GREG CARNACCHI,GCARST.MARYRO@COMCAST.NET,40096.8801967593,Yes,8,0,4,32,180,No,Yes,Yes,No,Yes,No,17,,,,,,17,120,25,19,19,15,14,12,13,13,17,,,,,267,1,1,1,1,1,0,0,3,7,,10,,1,,1,,,,0
63040,03960,ST PAUL LUTHERAN SCHOOL,508 WILLIAMS STREET,ROYAL OAK,48067,,248,546,6555,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),63,63,ERIC G PITTMAN,SLUTHERANSCHO113880@COMCAST.NET,40157.8544328704,Yes,1,0,6,32,181,No,Yes,No,Yes,Yes,No,7,,,,1,,8,24,8,9,12,10,7,9,7,11,5,,,,,102,1,1,1,1,0,0,0,1,7,0,8,0,0,0,0,,,,0
63050,02881,OUR LADY OF LA SALETTE SCH,2219 COOLIDGE HIGHWAY,BERKLEY,48072,,248,542,3757,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,WILLIAM DOGAN,WDOGAN@LASALETTE-CHURCH.ORG,40161.6149189815,Yes,,,4,32,175,No,Yes,Yes,No,Yes,No,9,0,0,0,0,0,9,22,6,13,14,11,16,13,16,9,12,,,,,132,1,1,1,1,1,0,1,0,9,0,9,0,1,0,1,2,0,0,2
63060,04661,EARLY IMPRESSIONS,25000 WEST TEN MILE,SOUTHFIELD,48034,,248,357,1740,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,NANCY SALLEN,EARLYIMPRESS@AOL.COM,40106.3427662037,Yes,0,0,,,,No,Yes,Yes,No,Yes,No,5,,,,,,5,48,15,12,4,,,,,,,,,,,79,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63060,06018,SOUTHFIELD CHRISTIAN SCHOOL,28650 LAHSER ROAD,SOUTHFIELD,48034,,248,357,3660,Elementary through High School (K-12),Unaffiliated - Religious,63,63,MARGIE BALDWIN,MBALDWIN@SOUTHFIELDCHRISTIAN.ORG,40116.5073263889,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,40,,0,0,1,0,41,20,21,30,31,22,26,39,43,36,47,44,40,54,56,509,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63200,06084,THE INTERNATIONAL SCHOOL,28555 MIDDLEBELT ROAD,FARMINGTON HILLS,48334,,248,851,7372,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,JACK FAXON,OFFICE@THEINTERNATIONALSCHOOL.ORG,40090.8698726852,Yes,0,0,1,40,180,No,Yes,No,Yes,Yes,No,5,0,0,1,5,1,12,0,5,9,3,9,7,3,4,3,2,,,,,45,1,1,1,1,1,1,1,0,6,0,6,0,1,0,1,0,1,0,1
63060,06133,YESHIVA BETH YEHUDAH SCHOOL,15751 WEST LINCOLN,SOUTHFIELD,48076,,248,557,9380,Elementary School (Pre-K or K through 6-8),Jewish,63,63,SUSAN COLBERT,BOYS@YBY.ORG,40232.4989351852,Yes,13,0,,,,Yes,No,No,No,Yes,No,,,,,,,,63,55,35,18,,,,,,,,,,,171,1,1,1,1,1,0,1,,,,0,,,,0,,,,0
63060,06466,AKIVA HEBREW DAY SCHOOL,21100 WEST 12 MILE ROAD,SOUTHFIELD,48076,,248,386,1625,Elementary through High School (K-12),Jewish,63,63,MRS TERI GIANNETTI,MARYMONICA43@HOTMAIL.COM,40089.5566666667,Yes,20,1,,,,No,Yes,No,Yes,Yes,No,21,0,0,2,25,,48,36,25,19,20,25,28,23,22,25,10,22,7,9,12,283,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63060,07111,OAK MONTESSORI CENTER,25175 CODE ROAD,SOUTHFIELD,48034,,248,355,1311,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,MAHENDRA RAJAH,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63290,07172,FRANKLIN ROAD CHRISTIAN SCH,40800 W 13 MILE ROAD,NOVI,48377,2327,248,668,7100,Elementary through High School (K-12),Unaffiliated - Religious,63,63,REV TIMOTHY GAMBINO,TGAMBINO@BRIGHTMOORCC.ORG,40089.6311574074,Yes,0,4,0,35,176,No,Yes,No,Yes,Yes,No,19,,,,3,2,24,0,20,22,18,26,23,23,26,20,27,24,29,23,12,293,1,1,1,1,1,1,1,,16,8,24,,1,1,2,,,,0
63080,00823,CRANBROOK SCHOOL,"PO BOX 801, 39221 WOODWARD AVE",BLOOMFIELD HILLS,48303,,248,645,3625,Elementary through High School (K-12),Unaffiliated - Secular,63,63,KURT J GODFRYD,KGODFRYD@CRANBROOK.EDU,40089.6117013889,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,174,0,0,0,35,0,209,44,110,72,73,70,72,75,114,117,112,179,197,225,193,1653,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63080,03258,ROEPER CITY & COUNTRY SCH,41190 WOODWARD AVENUE,BLOOMFIELD HILLS,48304,,248,203,7327,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,CAROLYN LETT,CAROLYN.LETT@ROEPER.ORG,40096.7713773148,Yes,7,0,,,,No,Yes,No,Yes,Yes,No,21,0,0,0,4,6,31,45,28,32,33,38,30,35,,,,,,,,241,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63080,03727,ST HUGO OF THE HILLS SCHOOL,380 EAST HICKORY GROVE,BLOOMFIELD HILLS,48304,,248,642,6131,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,SR M VAN VELZEN,MVANVELZEN@STHUGO.ORG,40096.8339351852,Yes,19,,,38,177,No,Yes,Yes,Yes,Yes,No,38,,,,,,38,13,63,59,77,87,74,86,85,88,89,,,,,721,1,1,1,1,1,1,1,1,38,,39,,2,,2,,,,0
63080,06086,ACADEMY OF SACRED HEART  K12,1250 KENSINGTON ROAD,BLOOMFIELD HILLS,48304,,248,646,8900,Elementary through High School (K-12),Roman Catholic,63,63,BRIDGET BEARSS,DDECKER@ASHMI.ORG,40161.616412037,Yes,,,,,,No,Yes,No,Yes,Yes,No,53,0,0,0,15,4,72,19,25,23,30,34,32,42,50,50,50,26,33,40,34,488,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63090,03968,CONCORDIA LUTHERAN NORTH,20805 MIDDLEBELT ROAD,FARMINGTON HILLS,48336,,248,474,2488,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),63,63,DAVID KUSCH,dkusch@stpaulsfarmington.com,40116.5165393519,Yes,6,0,0,38,178,No,Yes,Yes,No,Yes,No,4,,,,,,4,,12,12,10,9,7,,,,,,,,,50,1,1,1,1,1,1,1,,4,,4,,1,,1,,1,,1
63100,06716,NOVI CHRISTIAN SCHOOL,45301 WEST ELEVEN MILE,NOVI,48375,,248,349,9441,Elementary through High School (K-12),Unaffiliated - Religious,63,63,GARY ELFUER,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63110,02038,KINGSBURY SCHOOL,5000 HOSNER ROAD,OXFORD,48370,,248,628,2571,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,THOMAS MECSEY,TMECSEY@KINGSBURYSCHOOL.ORG,40068.7576736111,Yes,0,0,,,,No,Yes,Yes,No,Yes,No,17,0,0,0,0,0,17,8,14,9,11,11,7,9,5,12,7,,,,,93,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63150,03428,BROOKFIELD ACADEMY-TROY,3950 LIVERNOIS ROAD,TROY,48083,,248,689,9565,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,LISA LUTHER,LLUTHER@BROOKFIELDACADEMY.NET,40084.4209027778,Yes,0,0,0,29,172,No,Yes,No,Yes,Yes,No,5,0,0,0,1,0,6,65,44,25,15,22,12,10,,,,,,,,193,1,1,1,1,0,0,0,3,6,,9,,,,0,2,5,,7
63150,06048,TROY ADVENTIST ACADEMY,2777 CROOKS ROAD,TROY,48084,,248,649,3122,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),63,63,ROSEMARY AVILA,BDAVIS@MISDA.ORG,40090.8791087963,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,1,,,,1,,2,,6,3,4,1,1,3,1,2,,,,,,21,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
63160,02891,OUR LADY OF REFUGE SCHOOL,3750 COMMERCE ROAD,ORCHARD LAKE,48324,,248,682,3422,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,SR M NORA DOPKE,MAIL@OLR-SCHOOL.NET,40089.9686574074,Yes,0,0,0,32,174,No,Yes,Yes,No,Yes,No,20,1,,,,,21,37,18,27,36,26,22,34,39,42,38,,,,,319,1,1,1,1,1,1,1,1,20,,21,1,1,,2,2,,,2
63190,04641,OAKLAND CHRISTIAN-CLARKSTON,6300 CLARKSTON ROAD,CLARKSTON,48346,,248,625,1323,Elementary School (Pre-K or K through 6-8),Unaffiliated - Religious,63,63,ERIN AKERS,EAKERS@OAKLANDCHRISTIAN.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63190,04960,CEDAR CREST ACADEMY,8970 DIXIE HIGHWAY,CLARKSTON,48348,,248,625,7270,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,BETTE D MOEN,CCAKING@AOL.COM,40086.433125,Yes,0,0,0,35,175,No,Yes,No,Yes,Yes,No,12,0,0,0,2,1,15,39,8,11,18,20,13,15,14,12,11,,,,,161,1,1,1,1,0,0,0,2,9,0,11,1,1,0,2,4,4,0,8
63190,06323,SPRINGFIELD CHRISTIAN ACAD,8585 DIXIE HIGHWAY,CLARKSTON,48348,,248,625,9760,Elementary through High School (K-12),Baptist,63,63,PATRICK J WAGNER, ,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63200,01861,HILLEL DAY SCHOOL,32200 MIDDLEBELT ROAD,FARMINGTON HILLS,48334,,248,851,3220,Elementary School (Pre-K or K through 6-8),Jewish,63,63,STEVE FREEDMAN,MHERNANDEZ@HILLELDAY.ORG,40157.6412731481,Yes,,0,9,,,Yes,No,Yes,No,Yes,No,63,0,0,0,63,1,63,,36,41,61,59,59,56,64,72,54,,,,,502,1,1,1,1,1,1,1,,61,,61,,3,,3,,,,0
63200,02887,MERCY HIGH SCHOOL,29300 WEST 11 MILE ROAD,FARMINGTON HILLS,48336,,248,476,8020,Senior High School (9-12 or 10-12),Roman Catholic,63,63,CAROLYN R WITTE,CRWITTE@MHSMI.ORG,40089.7539583333,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,41,0,0,0,4,0,45,,,,,,,,,,,191,171,197,184,743,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63200,02899,OUR LADY OF SORROWS SCHOOL,24040 RAPHAEL ROAD,FARMINGTON,48336,1752,248,476,0977,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,MARIANN LUPINACCI,MLUPINACCI@OLSORROWS.COM,40089.9703472222,Yes,16,0,,,,No,Yes,Yes,No,Yes,No,33,0,0,0,0,0,33,59,58,71,73,65,105,82,91,84,99,,,,,787,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
63200,03419,MARIA MONTESSORI CENTER,32450 WEST 13 MILE ROAD,FARMINGTON HILLS,48334,,248,851,9695,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,THOMAS E KERBAWY,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63070,07000,LUTHERAN HIGH SCHOOL-NW,1000 BAGLEY,ROCHESTER HILLS,48309,,248,852,6677,Senior High School (9-12 or 10-12),Lutheran (Missouri Synod),63,63,PAUL LOOKER,PLOOKER@LHNW.LHSA.COM,40089.7421296296,Yes,0,0,,32,180,No,Yes,No,Yes,Yes,No,15,1,0,0,4,1,21,,,,,,,,,,,65,75,64,68,272,1,1,1,1,1,1,1,,,17,17,,,1,1,,,0,0
63220,03264,HIGHLAND HILLS BAPTIST ACAD,179 WOODRUFF LAKE ROAD,HIGHLAND,48357,,248,887,0698,Elementary through High School (K-12),Unaffiliated - Religious,63,63,MARIO J CHADINHA,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63220,06524,WEST HIGHLAND CHRISTIAN ACAD,1116 S HICKORY RIDGE ROAD,MILFORD,48380,,248,887,6698,Elementary through High School (K-12),Unaffiliated - Religious,63,63,JAN GRIMM,OFFICE@WESTHIGHLANDCHRISTIANACADEMY.ORG,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63230,03812,ST JOSEPH SCHOOL,703 LAPEER ROAD NORTH,LAKE ORION,48362,,248,693,6215,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,SR THERESA DARGA,TDARGA@STJOSEPHLAKEORION.ORG,40100.6421643519,Yes,18,0,12,29,182,No,Yes,Yes,No,Yes,No,21,0,,,,,21,33,43,41,43,55,40,53,32,40,30,0,0,0,0,410,1,1,1,1,1,0,1,,21,,21,,2,,2,,0,,0
63230,03876,OAK HOLLOW CHRISTIAN SCHOOL,120 MANITOU LANE,LAKE ORION,48362,,248,693,1224,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),63,63,TAMIE HASTY,BDAVIS@MISDA.ORG,40089.9485763889,Yes,2,0,5,32,176,No,Yes,No,Yes,Yes,No,,,,,1,,1,,,1,1,3,,,2,1,1,,,,,9,1,1,1,1,0,0,0,,1,,1,,,,0,,,,0
63230,06220,UPLAND HILLS SCHOOL,2575 INDIAN LAKE ROAD,OXFORD,48370,,248,693,2878,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,63,63,TERRY GARDNER,INFO@UPLANDHILLS.ORG,40238.4471875,Yes,0,14,0,30,170,No,Yes,No,Yes,Yes,No,7,4,,,,,11,14,5,6,9,10,10,9,9,6,9,,,,,87,1,1,1,1,1,1,0,2,9,,11,,,,0,,9,,9
63250,02370,YESHIVAH GEDOLAH HIGH SCHOOL,24600 GREENFIELD ROAD,OAK PARK,48237,,248,968,3360,Senior High School (9-12 or 10-12),Jewish,63,63,RABBI PAUL RUSHNAWITZ, ,40157.5954398148,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
63260,02285,HOLY FAMILY REGIONAL SCHOOL,2633 JOHN R ROAD,ROCHESTER HILLS,48307,,248,299,3798,Elementary School (Pre-K or K through 6-8),Roman Catholic,63,63,SR KAREN HAWVER S C,JANLAWLROCH@YAHOO.COM,40086.6696064815,Yes,45,0,4,32,180,No,Yes,Yes,No,Yes,No,61,1,,,,,62,0,108,124,113,124,127,136,137,136,125,,,,,1130,1,1,1,1,1,1,1,0,62,0,62,0,3,0,3,0,0,0,0
