"DCODE-BCODE";"DNAME - BNAME";"DCODE";"DNAME";0;"BCODE";"BNAME";0
"15000-00000";"CHARLEVOIX-EMMET ISD - ALL SCHOOLS";"50170";"NEW HAVEN COMMUNITY SCHOOLS";0;"00787";"COOLIDGE ELEMENTARY SCHOOL";0
"15000-07052";"CHARLEVOIX-EMMET ISD - CHAR-EM PROGRAMS";"50180";"RICHMOND COMMUNITY SCHOOLS";0;"00788";"COOLIDGE ELEMENTARY SCHOOL";0
"15010-00000";"BEAVER ISLAND COMMUNITY SCHOOL - ALL SCHOOLS";"50190";"ROMEO COMMUNITY SCHOOLS";0;"00789";"COOLIDGE SCHOOL";0
"15010-00241";"BEAVER ISLAND COMMUNITY SCHOOL - BEAVER ISLAND COMMUNITY SCHOOL";"50200";"SOUTH LAKE SCHOOLS";0;"00790";"COOPER ELEMENTARY SCHOOL";0
"15020-00000";"BOYNE CITY PUBLIC SCHOOLS - ALL SCHOOLS";"50210";"UTICA COMMUNITY SCHOOLS";0;"00791";"COOPER UPPER ELEMENTARY SCHOOL";0
"15020-00371";"BOYNE CITY PUBLIC SCHOOLS - BOYNE CITY HIGH SCHOOL";"50220";"VAN DYKE PUBLIC SCHOOLS";0;"00794";"COOPERSVILLE HIGH SCHOOL";0
"15020-00595";"BOYNE CITY PUBLIC SCHOOLS - BOYNE CITY ELEMENTARY SCHOOL";"50230";"WARREN CONSOLIDATED SCHOOLS";0;"00795";"COOPERSVILLE EAST ELEMENTARY SCHOOL";0
"15020-06486";"BOYNE CITY PUBLIC SCHOOLS - BOYNE CITY MIDDLE SCHOOL";"50240";"WARREN WOODS PUBLIC SCHOOLS";0;"00801";"CORNELL ELEMENTARY SCHOOL";0
"15030-00000";"BOYNE FALLS PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";"50902";"CONNER CREEK ACADEMY EAST";0;"00805";"CORTLAND ELEMENTARY SCHOOL";0
"15030-00372";"BOYNE FALLS PUBLIC SCHOOL DISTRICT - BOYNE FALLS PUBLIC SCHOOL";"50903";"HURON ACADEMY";0;"00806";"CORUNNA MIDDLE SCHOOL";0
"15050-00000";"CHARLEVOIX PUBLIC SCHOOLS - ALL SCHOOLS";"50904";"CONNER CREEK ACADEMY";0;"00807";"CORY ELEMENTARY SCHOOL";0
"15050-00646";"CHARLEVOIX PUBLIC SCHOOLS - CHARLEVOIX HIGH SCHOOL";"50905";"ARTS ACADEMY IN THE WOODS";0;"00812";"COURTIS ELEMENTARY SCHOOL";0
"15050-00647";"CHARLEVOIX PUBLIC SCHOOLS - CHARLEVOIX MIDDLE SCHOOL";"50906";"MERRITT ACADEMY";0;"00814";"COUSINO SENIOR HIGH SCHOOL";0
"15050-05796";"CHARLEVOIX PUBLIC SCHOOLS - CHARLEVOIX ELEMENTARY SCHOOL";"50908";"MT. CLEMENS MONTESSORI ACADEMY";0;"00816";"COVERT ELEMENTARY SCHOOL";0
"15060-00000";"EAST JORDAN PUBLIC SCHOOLS - ALL SCHOOLS";"50909";"PREVAIL ACADEMY";0;"00817";"COVERT HIGH SCHOOL";0
"15060-01015";"EAST JORDAN PUBLIC SCHOOLS - EAST JORDAN ELEMENTARY SCHOOL";"50910";"BEN ROSS PUBLIC SCHOOL ACADEMY";0;"00818";"BIRMINGHAM COVINGTON SCHOOL";0
"15060-01018";"EAST JORDAN PUBLIC SCHOOLS - EAST JORDAN HIGH SCHOOL";"50911";"ACADEMY OF WARREN";0;"00826";"CRARY ELEMENTARY SCHOOL";0
"15060-07429";"EAST JORDAN PUBLIC SCHOOLS - EAST JORDAN MIDDLE SCHOOL";"50912";"REACH CHARTER ACADEMY";0;"00827";"CRAWFORD SCHOOL";0
"15901-00000";"CONCORD ACADEMY:BOYNE - ALL SCHOOLS";"51020";"BEAR LAKE SCHOOL DISTRICT";0;"00828";"CRESCENTWOOD ELEMENTARY SCHOOL";0
"15901-08290";"CONCORD ACADEMY:BOYNE - CONCORD ACADEMY:BOYNE";"51045";"KALEVA NORMAN DICKSON SCHOOL DISTRICT";0;"00830";"CRESTON HIGH SCHOOL";0
"15902-00000";"NORTHWEST ACADEMY - ALL SCHOOLS";"51060";"ONEKAMA CONSOLIDATED SCHOOLS";0;"00832";"CRESTWOOD ELEMENTARY SCHOOL";0
"15902-08340";"NORTHWEST ACADEMY - NORTHWEST ACADEMY";"51070";"MANISTEE AREA SCHOOLS";0;"00833";"CRESTWOOD HIGH SCHOOL";0
"16000-00000";"CHEB-OTSEGO-PRESQUE ISLE ESD - ALL SCHOOLS";"51903";"CASMAN ALTERNATIVE ACADEMY";0;"00834";"CROFOOT SCHOOL";0
"16000-09026";"CHEB-OTSEGO-PRESQUE ISLE ESD - RUSSELL HOUSE";"52000";"MARQUETTE-ALGER RESA";0;"00835";"CROMIE ELEMENTARY SCHOOL";0
"16015-00000";"CHEBOYGAN AREA SCHOOLS - ALL SCHOOLS";"52015";"N.I.C.E. COMMUNITY SCHOOLS";0;"00839";"CROSWELL ELEMENTARY SCHOOL";0
"16015-00655";"CHEBOYGAN AREA SCHOOLS - CHEBOYGAN AREA HIGH SCHOOL";"52040";"GWINN AREA COMMUNITY SCHOOLS";0;"00841";"CROSWELL-LEXINGTON HIGH SCHOOL";0
"16015-01007";"CHEBOYGAN AREA SCHOOLS - EAST ELEMENTARY SCHOOL";"52090";"NEGAUNEE PUBLIC SCHOOLS";0;"00842";"CROTHERS ELEMENTARY SCHOOL";0
"16015-01847";"CHEBOYGAN AREA SCHOOLS - INVERNESS ELEMENTARY SCHOOL";"52100";"POWELL TOWNSHIP SCHOOLS";0;"00846";"CRYSTAL ELEMENTARY SCHOOL";0
"16015-05776";"CHEBOYGAN AREA SCHOOLS - CHEBOYGAN MIDDLE SCHOOL";"52110";"REPUBLIC-MICHIGAMME SCHOOLS";0;"00847";"FOREST PARK SCHOOL ";0
"16015-07932";"CHEBOYGAN AREA SCHOOLS - CHEBOYGAN ADULT LEARNING CENTER";"52160";"WELLS TOWNSHIP SCHOOL DISTRICT";0;"00848";"CRYSTAL LAKE ELEMENTARY SCHOOL";0
"16050-00000";"INLAND LAKES SCHOOLS - ALL SCHOOLS";"52170";"MARQUETTE AREA PUBLIC SCHOOLS";0;"00849";"CUMBERLAND SCHOOL";0
"16050-01841";"INLAND LAKES SCHOOLS - INLAND LAKES ELEMENTARY SCHOOL";"52180";"ISHPEMING PUBLIC SCHOOL DISTRICT";0;"00851";"GRANDVILLE CUMMINGS ELEMENTARY SCHOOL";0
"16050-01842";"INLAND LAKES SCHOOLS - INLAND LAKES HIGH SCHOOL";"52901";"NORTH STAR ACADEMY";0;"00855";"MASON COUNTY EASTERN ELEM. SCH.";0
"16050-06761";"INLAND LAKES SCHOOLS - INLAND LAKES MIDDLE SCHOOL";"53000";"MASON-LAKE ISD";0;"00856";"CUSTER ELEMENTARY SCHOOL";0
"16070-00000";"MACKINAW CITY PUBLIC SCHOOLS - ALL SCHOOLS";"53010";"MASON COUNTY CENTRAL SCHOOLS";0;"00857";"MARSHALL, THURGOOD ELEMENTARY SCHOOL";0
"16070-02306";"MACKINAW CITY PUBLIC SCHOOLS - MACKINAW CITY K-12 SCHOOL";"53020";"MASON COUNTY EASTERN SCHOOLS";0;"00862";"DAILEY ELEMENTARY SCHOOL";0
"16100-00000";"WOLVERINE COMMUNITY SCHOOLS - ALL SCHOOLS";"53030";"FREE SOIL COMMUNITY SCHOOLS";0;"00863";"DAISY BROOK ELEMENTARY SCHOOL";0
"16100-04577";"WOLVERINE COMMUNITY SCHOOLS - WOLVERINE ELEMENTARY SCHOOL";"53040";"LUDINGTON AREA SCHOOL DISTRICT";0;"00867";"DALY SCHOOL";0
"16100-05860";"WOLVERINE COMMUNITY SCHOOLS - WOLVERINE MIDDLE/HIGH SCHOOL";"54000";"MECOSTA-OSCEOLA ISD";0;"00870";"DANSVILLE ELEMENTARY SCHOOL";0
"17010-00000";"SAULT STE. MARIE AREA SCHOOLS - ALL SCHOOLS";"54010";"BIG RAPIDS PUBLIC SCHOOLS";0;"00871";"DANSVILLE HIGH SCHOOL";0
"17010-02214";"SAULT STE. MARIE AREA SCHOOLS - LINCOLN SCHOOL";"54025";"CHIPPEWA HILLS SCHOOL DISTRICT";0;"00874";"DAVID HICKS SCHOOL";0
"17010-02264";"SAULT STE. MARIE AREA SCHOOLS - SAULT AREA MIDDLE SCHOOL";"54040";"MORLEY STANWOOD COMMUNITY SCHOOLS";0;"00875";"DAVIDSON MIDDLE SCHOOL";0
"17010-03501";"SAULT STE. MARIE AREA SCHOOLS - SOO TOWNSHIP SCHOOL";"54901";"CROSSROADS CHARTER ACADEMY";0;"00876";"DAVIS MIDDLE SCHOOL";0
"17010-04379";"SAULT STE. MARIE AREA SCHOOLS - WASHINGTON ELEMENTARY SCHOOL";"55010";"CARNEY-NADEAU PUBLIC SCHOOLS";0;"00877";"DAVISBURG ELEMENTARY SCHOOL";0
"17010-06068";"SAULT STE. MARIE AREA SCHOOLS - SAULT AREA HIGH SCHOOL";"55100";"MENOMINEE AREA PUBLIC SCHOOLS";0;"00878";"DAVISON HIGH SCHOOL";0
"17050-00000";"DETOUR AREA SCHOOLS - ALL SCHOOLS";"55115";"NORTH CENTRAL AREA SCHOOLS";0;"00879";"DAVISON MIDDLE SCHOOL";0
"17050-00905";"DETOUR AREA SCHOOLS - DETOUR HIGH SCHOOL";"55120";"STEPHENSON AREA PUBLIC SCHOOLS";0;"00880";"DAVISON ELEMENTARY SCHOOL";0
"17050-00934";"DETOUR AREA SCHOOLS - DETOUR ELEMENTARY SCHOOL";"55901";"NAH TAH WAHSH PUBLIC SCHOOL ACADEMY";0;"00881";"DAWSON ELEMENTARY SCHOOL";0
"17050-05065";"DETOUR AREA SCHOOLS - DRUMMOND ISLAND ELEM. SCHOOL";"56000";"MIDLAND COUNTY EDUCATIONAL SERVICE AGENCY";0;"00884";"DEAN A. NALDRETT SCHOOL";0
"17090-00000";"PICKFORD PUBLIC SCHOOLS - ALL SCHOOLS";"56010";"MIDLAND PUBLIC SCHOOLS";0;"00886";"DEARBORN HIGH SCHOOL";0
"17090-03024";"PICKFORD PUBLIC SCHOOLS - PICKFORD HIGH SCHOOL";"56020";"BULLOCK CREEK SCHOOL DISTRICT";0;"00888";"DECATUR HIGH SCHOOL";0
"17090-03025";"PICKFORD PUBLIC SCHOOLS - PICKFORD ELEMENTARY SCHOOL";"56030";"COLEMAN COMMUNITY SCHOOL DISTRICT";0;"00889";"MARY HELEN GUEST ELEMENTARY SCHOOL";0
"17090-09417";"PICKFORD PUBLIC SCHOOLS - CONSOLIDATED COMMUNITY SCHOOL SERVICES";"56050";"MERIDIAN PUBLIC SCHOOLS";0;"00890";"DECKERVILLE ELEMENTARY SCHOOL";0
"17110-00000";"RUDYARD AREA SCHOOLS - ALL SCHOOLS";"56901";"WINDOVER HIGH SCHOOL";0;"00891";"DECKERVILLE COMMUNITY HIGH SCHOOL";0
"17110-05517";"RUDYARD AREA SCHOOLS - TURNER-HOWSON ELEMENTARY SCHOOL";"56902";"MIDLAND ACADEMY OF ADVANCED AND CREATIVE STUDIES";0;"00898";"DELTA CENTER ELEMENTARY SCHOOL";0
"17110-05631";"RUDYARD AREA SCHOOLS - RUDYARD HIGH SCHOOL";"57020";"LAKE CITY AREA SCHOOL DISTRICT";0;"00900";"DELTON-KELLOGG HIGH SCHOOL";0
"17110-07814";"RUDYARD AREA SCHOOLS - RUDYARD MIDDLE SCHOOL";"57030";"MCBAIN RURAL AGRICULTURAL SCHOOLS";0;"00901";"DELTON KELLOGG ELEM. SCHOOL";0
"17140-00000";"BRIMLEY AREA SCHOOLS - ALL SCHOOLS";"58000";"MONROE ISD";0;"00902";"DENBY HIGH SCHOOL";0
"17140-00404";"BRIMLEY AREA SCHOOLS - BRIMLEY JR./SR. HIGH";"58010";"MONROE PUBLIC SCHOOLS";0;"00904";"DERBY MIDDLE SCHOOL";0
"17140-09119";"BRIMLEY AREA SCHOOLS - BRIMLEY ELEMENTARY SCHOOL";"58020";"AIRPORT COMMUNITY SCHOOL DISTRICT";0;"00905";"DETOUR HIGH SCHOOL";0
"17160-00000";"WHITEFISH TOWNSHIP SCHOOLS - ALL SCHOOLS";"58030";"BEDFORD PUBLIC SCHOOLS";0;"00908";"DETROIT DAY SCHOOL FOR THE DEAF";0
"17160-04506";"WHITEFISH TOWNSHIP SCHOOLS - WHITEFISH TOWNSHIP SCHOOL";"58050";"DUNDEE COMMUNITY SCHOOLS";0;"00912";"DEWITT HIGH SCHOOL";0
"17901-00000";"JOSEPH K. LUMSDEN BAHWETING ANISHNABE ACADEMY - ALL SCHOOLS";"58070";"IDA PUBLIC SCHOOL DISTRICT";0;"00913";"DEXTER HIGH SCHOOL";0
"17901-08063";"JOSEPH K. LUMSDEN BAHWETING ANISHNABE ACADEMY - JOSEPH K. LUMSDEN BAHWETING ANISHNABE ACADEMY";"58080";"JEFFERSON SCHOOLS (MONROE)";0;"00914";"DIBBLE ELEMENTARY SCHOOL";0
"17902-00000";"OJIBWE CHARTER SCHOOL - ALL SCHOOLS";"58090";"MASON CONSOLIDATED SCHOOLS (MONROE)";0;"00915";"DICKEN ELEMENTARY SCHOOL";0
"17902-09308";"OJIBWE CHARTER SCHOOL - OJIBWE CHARTER SCHOOL";"58100";"SUMMERFIELD SCHOOL DISTRICT";0;"00916";"DICKINSON WEST ELEMENTARY SCHOOL";0
"18010-00000";"CLARE PUBLIC SCHOOLS - ALL SCHOOLS";"58110";"WHITEFORD AGRICULTURAL SCHOOLS";0;"00917";"DICKINSON SCHOOL";0
"18010-00696";"CLARE PUBLIC SCHOOLS - CLARE PRIMARY SCHOOL";"58901";"NEW BEDFORD ACADEMY";0;"00918";"DIMONDALE ELEMENTARY SCHOOL";0
"18010-00697";"CLARE PUBLIC SCHOOLS - CLARE HIGH SCHOOL";"58902";"TRIUMPH ACADEMY";0;"00922";"DIX STREET ELEMENTARY SCHOOL";0
"18010-06394";"CLARE PUBLIC SCHOOLS - CLARE MIDDLE SCHOOL";"59000";"MONTCALM AREA ISD";0;"00925";"DIXON ELEMENTARY SCHOOL";0
"18020-00000";"FARWELL AREA SCHOOLS - ALL SCHOOLS";"59020";"CARSON CITY-CRYSTAL AREA SCHOOLS";0;"00927";"DOLLAR BAY HIGH SCHOOL";0
"18020-01209";"FARWELL AREA SCHOOLS - FARWELL ELEMENTARY SCHOOL";"59045";"MONTABELLA COMMUNITY SCHOOLS";0;"00933";"DONELSON HILLS ELEMENTARY SCHOOL";0
"18020-01210";"FARWELL AREA SCHOOLS - FARWELL HIGH SCHOOL";"59070";"GREENVILLE PUBLIC SCHOOLS";0;"00934";"DETOUR ELEMENTARY SCHOOL";0
"18020-06258";"FARWELL AREA SCHOOLS - FARWELL MIDDLE SCHOOL";"59080";"TRI COUNTY AREA SCHOOLS";0;"00936";"DORR SCHOOL";0
"18060-00000";"HARRISON COMMUNITY SCHOOLS - ALL SCHOOLS";"59090";"LAKEVIEW COMMUNITY SCHOOLS (MONTCALM)";0;"00937";"DORT ELEMENTARY SCHOOL";0
"18060-01583";"HARRISON COMMUNITY SCHOOLS - HARRISON COMMUNITY HIGH SCHOOL";"59125";"CENTRAL MONTCALM PUBLIC SCHOOLS";0;"00938";"DORT SCHOOL";0
"18060-05811";"HARRISON COMMUNITY SCHOOLS - HARRISON MIDDLE SCHOOL";"59150";"VESTABURG COMMUNITY SCHOOLS";0;"00939";"DOSSIN ELEMENTARY SCHOOL";0
"18060-09412";"HARRISON COMMUNITY SCHOOLS - HILLSIDE ELEMENTARY SCHOOL";"59901";"THRESHOLD ACADEMY";0;"00941";"DOUGLAS ELEMENTARY SCHOOL";0
"19000-00000";"CLINTON COUNTY RESA - ALL SCHOOLS";"60010";"ATLANTA COMMUNITY SCHOOLS";0;"00942";"WHITE PINE MIDDLE SCHOOL";0
"19000-06889";"CLINTON COUNTY RESA - CLINTON COUNTY EDUCATION CENTER";"60020";"HILLMAN COMMUNITY SCHOOLS";0;"00943";"DOUGLAS ROAD ELEMENTARY SCHOOL";0
"19000-09752";"CLINTON COUNTY RESA - TURNING POINT YOUTH CENTER";"61010";"MUSKEGON CITY SCHOOL DISTRICT";0;"00944";"DOUGLAS SCHOOL";0
"19010-00000";"DEWITT PUBLIC SCHOOLS - ALL SCHOOLS";"61020";"MUSKEGON HEIGHTS SCHOOL DISTRICT";0;"00946";"HOUGHTON ELEMENTARY SCHOOL";0
"19010-00912";"DEWITT PUBLIC SCHOOLS - DEWITT HIGH SCHOOL";"61060";"MONA SHORES PUBLIC SCHOOL DISTRICT";0;"00949";"KATE DOWDALL ELEMENTARY SCHOOL";0
"19010-03424";"DEWITT PUBLIC SCHOOLS - SCOTT ELEMENTARY SCHOOL";"61065";"OAKRIDGE PUBLIC SCHOOLS";0;"00952";"DOYLE KNIGHT SCHOOL";0
"19010-05993";"DEWITT PUBLIC SCHOOLS - DEWITT JUNIOR HIGH SCHOOL";"61080";"FRUITPORT COMMUNITY SCHOOLS";0;"00954";"SNOW ELEMENTARY SCHOOL";0
"19010-08806";"DEWITT PUBLIC SCHOOLS - HERBISON WOODS ELEMENTARY SCHOOL";"61120";"HOLTON PUBLIC SCHOOLS";0;"00955";"SALK ELEMENTARY SCHOOL";0
"19070-00000";"FOWLER PUBLIC SCHOOLS - ALL SCHOOLS";"61180";"MONTAGUE AREA PUBLIC SCHOOLS";0;"00958";"DRESDEN ELEMENTARY SCHOOL";0
"19070-01283";"FOWLER PUBLIC SCHOOLS - WALDRON ELEMENTARY AND MIDDLE SCHOOL";"61190";"ORCHARD VIEW SCHOOLS";0;"00959";"DRYDEN HIGH SCHOOL";0
"19070-01284";"FOWLER PUBLIC SCHOOLS - FOWLER HIGH SCHOOL";"61210";"RAVENNA PUBLIC SCHOOLS";0;"00960";"DRYDEN  ELEMENTARY SCHOOL";0
"19100-00000";"BATH COMMUNITY SCHOOLS - ALL SCHOOLS";"61220";"REETHS-PUFFER SCHOOLS";0;"00961";"DUBLIN ELEMENTARY ";0
"19100-00218";"BATH COMMUNITY SCHOOLS - BATH HIGH SCHOOL";"61230";"NORTH MUSKEGON PUBLIC SCHOOLS";0;"00965";"DUDLEY SCHOOL";0
"19100-00219";"BATH COMMUNITY SCHOOLS - BATH ELEMENTARY SCHOOL";"61240";"WHITEHALL DISTRICT SCHOOLS";0;"00966";"DUFFIELD ELEMENTARY SCHOOL";0
"19100-04880";"BATH COMMUNITY SCHOOLS - BATH MIDDLE SCHOOL";"61902";"TIMBERLAND ACADEMY";0;"00967";"DUNDEE ELEMENTARY SCHOOL";0
"19120-00000";"OVID-ELSIE AREA SCHOOLS - ALL SCHOOLS";"61903";"WAYPOINT ACADEMY";0;"00968";"DUNDEE COMMUNITY HIGH SCHOOL";0
"19120-00985";"OVID-ELSIE AREA SCHOOLS - E.E. KNIGHT ELEMENTARY SCHOOL";"61904";"THREE OAKS PUBLIC SCHOOL ACADEMY";0;"00972";"DURAND AREA HIGH SCHOOL";0
"19120-02919";"OVID-ELSIE AREA SCHOOLS - OVID-ELSIE MIDDLE SCHOOL";"62040";"FREMONT PUBLIC SCHOOL DISTRICT";0;"00973";"DURAND MIDDLE SCHOOL";0
"19120-05073";"OVID-ELSIE AREA SCHOOLS - LEONARD ELEMENTARY SCHOOL";"62050";"GRANT PUBLIC SCHOOL DISTRICT";0;"00974";"DURANT TUURI MOTT SCHOOL";0
"19120-05333";"OVID-ELSIE AREA SCHOOLS - OVID-ELSIE HIGH SCHOOL";"62060";"HESPERIA COMMUNITY SCHOOLS";0;"00975";"DURFEE ELEMENTARY SCHOOL";0
"19120-07726";"OVID-ELSIE AREA SCHOOLS - OVID-ELSIE COMM. ED./ALT. H.S.";"62070";"NEWAYGO PUBLIC SCHOOL DISTRICT";0;"00977";"DUVALL ELEMENTARY SCHOOL";0
"19125-00000";"PEWAMO-WESTPHALIA COMMUNITY SCHOOLS - ALL SCHOOLS";"62090";"WHITE CLOUD PUBLIC SCHOOLS";0;"00978";"EISENHOWER ELEMENTARY SCHOOL";0
"19125-03019";"PEWAMO-WESTPHALIA COMMUNITY SCHOOLS - PEWAMO ELEMENTARY SCHOOL";"62470";"BIG JACKSON SCHOOL DISTRICT";0;"00980";"DYE ELEMENTARY SCHOOL";0
"19125-03021";"PEWAMO-WESTPHALIA COMMUNITY SCHOOLS - PEWAMO-WESTPHALIA SENIOR HIGH SCHOOL";"63010";"BIRMINGHAM CITY SCHOOL DISTRICT";0;"00983";"SCHWARZKOFF ELEMENTARY SCHOOL";0
"19125-04480";"PEWAMO-WESTPHALIA COMMUNITY SCHOOLS - PEWAMO-WESTPHALIA JUNIOR HIGH SCHOOL";"63020";"FERNDALE PUBLIC SCHOOLS";0;"00985";"E.E. KNIGHT ELEMENTARY SCHOOL";0
"19140-00000";"ST. JOHNS PUBLIC SCHOOLS - ALL SCHOOLS";"63030";"PONTIAC CITY SCHOOL DISTRICT";0;"00986";"E.F. SIEFERT ELEMENTARY SCHOOL";0
"19140-01039";"ST. JOHNS PUBLIC SCHOOLS - WILSON CENTER";"63040";"SCHOOL DISTRICT OF THE CITY OF ROYAL OAK";0;"00987";"ELLEN G. LOFTIS SCHOOL";0
"19140-01161";"ST. JOHNS PUBLIC SCHOOLS - EUREKA SCHOOL";"63050";"BERKLEY SCHOOL DISTRICT";0;"00988";"CHAPELLE COMMUNITY SCHOOL";0
"19140-03009";"ST. JOHNS PUBLIC SCHOOLS - GATEWAY ELEMENTARY SCHOOL";"63060";"SOUTHFIELD PUBLIC SCHOOL DISTRICT";0;"00989";"MEMORIAL SCHOOL";0
"19140-03249";"ST. JOHNS PUBLIC SCHOOLS - ST. JOHNS MIDDLE SCHOOL";"63070";"AVONDALE SCHOOL DISTRICT";0;"00992";"CLARKE SCHOOL";0
"19140-04115";"ST. JOHNS PUBLIC SCHOOLS - OAKVIEW ELEMENTARY SCHOOL";"63080";"BLOOMFIELD HILLS SCHOOL DISTRICT";0;"00994";"EAGLE ELEMENTARY SCHOOL";0
"19140-05708";"ST. JOHNS PUBLIC SCHOOLS - ST. JOHNS HIGH SCHOOL";"63090";"CLARENCEVILLE SCHOOL DISTRICT";0;"00995";"EAGLE LAKE ELEMENTARY SCHOOL";0
"19140-05709";"ST. JOHNS PUBLIC SCHOOLS - EAST OLIVE ELEMENTARY SCHOOL";"63100";"NOVI COMMUNITY SCHOOL DISTRICT";0;"00997";"EARL F. CARR SCHOOL";0
"19140-05710";"ST. JOHNS PUBLIC SCHOOLS - RILEY ELEMENTARY SCHOOL";"63110";"OXFORD COMMUNITY SCHOOLS";0;"01003";"EAST DETROIT HIGH SCHOOL";0
"20015-00000";"CRAWFORD AUSABLE SCHOOLS - ALL SCHOOLS";"63130";"HAZEL PARK CITY SCHOOL DISTRICT";0;"01006";"GRANDVILLE EAST ELEMENTARY SCHOOL";0
"20015-01481";"CRAWFORD AUSABLE SCHOOLS - GRAYLING ELEMENTARY SCHOOL";"63140";"MADISON PUBLIC SCHOOLS (OAKLAND)";0;"01007";"EAST ELEMENTARY SCHOOL";0
"20015-01482";"CRAWFORD AUSABLE SCHOOLS - GRAYLING HIGH SCHOOL";"63150";"TROY SCHOOL DISTRICT";0;"01009";"EAST ELEMENTARY SCHOOL";0
"20015-06355";"CRAWFORD AUSABLE SCHOOLS - GRAYLING MIDDLE SCHOOL";"63160";"WEST BLOOMFIELD SCHOOL DISTRICT";0;"01012";"EAST GRAND RAPIDS MIDDLE SCHOOL";0
"21010-00000";"ESCANABA AREA PUBLIC SCHOOLS - ALL SCHOOLS";"63180";"BRANDON SCHOOL DISTRICT";0;"01013";"EAST GRAND RAPIDS HIGH SCHOOL";0
"21010-01155";"ESCANABA AREA PUBLIC SCHOOLS - ESCANABA AREA PUBLIC HIGH SCHOOL";"63190";"CLARKSTON COMMUNITY SCHOOL DISTRICT";0;"01015";"EAST JORDAN ELEMENTARY SCHOOL";0
"21010-01156";"ESCANABA AREA PUBLIC SCHOOLS - ESCANABA MIDDLE SCHOOL";"63200";"FARMINGTON PUBLIC SCHOOL DISTRICT";0;"01016";"EAST JACKSON MIDDLE SCHOOL";0
"21010-01954";"ESCANABA AREA PUBLIC SCHOOLS - LEMMER ELEMENTARY SCHOOL";"63210";"HOLLY AREA SCHOOL DISTRICT";0;"01017";"EAST JACKSON HIGH SCHOOL";0
"21010-03500";"ESCANABA AREA PUBLIC SCHOOLS - SOO HILL ELEMENTARY SCHOOL";"63220";"HURON VALLEY SCHOOLS";0;"01018";"EAST JORDAN HIGH SCHOOL";0
"21010-04421";"ESCANABA AREA PUBLIC SCHOOLS - WEBSTER ELEMENTARY SCHOOL";"63230";"LAKE ORION COMMUNITY SCHOOLS";0;"01019";"EAST MIDDLE SCHOOL";0
"21010-05104";"ESCANABA AREA PUBLIC SCHOOLS - FRANKLIN ELEMENTARY SCHOOL";"63240";"SOUTH LYON COMMUNITY SCHOOLS";0;"01022";"EAST MIDDLE SCHOOL";0
"21025-00000";"GLADSTONE AREA SCHOOLS - ALL SCHOOLS";"63250";"OAK PARK CITY SCHOOL DISTRICT";0;"01023";"EAST KELLOGGSVILLE SCHOOL";0
"21025-01407";"GLADSTONE AREA SCHOOLS - GLADSTONE AREA MIDDLE SCHOOL";"63260";"ROCHESTER COMMUNITY SCHOOL DISTRICT";0;"01025";"EAST LANSING HIGH SCHOOL";0
"21025-01410";"GLADSTONE AREA SCHOOLS - GLADSTONE AREA HIGH SCHOOL";"63270";"CLAWSON PUBLIC SCHOOLS";0;"01026";"EAST LEONARD SCHOOL";0
"21025-09334";"GLADSTONE AREA SCHOOLS - JAMES T. JONES ELEMENTARY SCHOOL";"63280";"LAMPHERE PUBLIC SCHOOLS";0;"01027";"EAST LEROY ELEMENTARY SCHOOL";0
"21060-00000";"RAPID RIVER PUBLIC SCHOOLS - ALL SCHOOLS";"63290";"WALLED LAKE CONSOLIDATED SCHOOLS";0;"01028";"EAST OAKVIEW ELEMENTARY SCHOOL";0
"21060-03151";"RAPID RIVER PUBLIC SCHOOLS - TRI-TOWNSHIP SCHOOL";"63300";"WATERFORD SCHOOL DISTRICT";0;"01030";"M.L. KING JR. ELEMENTARY SCHOOL";0
"21065-00000";"BIG BAY DE NOC SCHOOL DISTRICT - ALL SCHOOLS";"63901";"AGBU ALEX-MARIE MANOOGIAN SCHOOL";0;"01031";"VICKSBURG MIDDLE SCHOOL";0
"21065-06166";"BIG BAY DE NOC SCHOOL DISTRICT - BIG BAY DE NOC SCHOOL";"63902";"ACADEMY OF OAK PARK";0;"01035";"SHIAWASSEE DEVELOPMENT CENTER";0
"21090-00000";"BARK RIVER-HARRIS SCHOOL DISTRICT - ALL SCHOOLS";"63903";"ACADEMY OF SOUTHFIELD";0;"01037";"PATHFINDER CENTER";0
"21090-00204";"BARK RIVER-HARRIS SCHOOL DISTRICT - BARK RIVER-HARRIS JR/SR HIGH SCHOOL";"63904";"ACADEMY OF LATHRUP VILLAGE";0;"01039";"WILSON CENTER";0
"21090-04840";"BARK RIVER-HARRIS SCHOOL DISTRICT - BARK RIVER-HARRIS ELEMENTARY SCHOOL";"63906";"PONTIAC ACADEMY FOR EXCELLENCE";0;"01040";"EASTERN ELEMENTARY SCHOOL";0
"21135-00000";"MID PENINSULA SCHOOL DISTRICT - ALL SCHOOLS";"63907";"GREAT LAKES ACADEMY";0;"01041";"TOMEK-EASTERN ELEM. SCHOOL";0
"21135-03243";"MID PENINSULA SCHOOL DISTRICT - MID PENINSULA SCHOOL";"63910";"EDISON-OAKLAND PUBLIC SCHOOL ACADEMY";0;"01042";"EAST ELEMENTARY SCHOOL";0
"22010-00000";"IRON MOUNTAIN PUBLIC SCHOOLS - ALL SCHOOLS";"63911";"HOLLY ACADEMY";0;"01043";"KING HIGH SCHOOL";0
